suburb,state,lga
ALMADEN,QLD,MAREEBA (SHIRE)
ALMONDS,VIC,MOIRA (SHIRE)
ALMURTA,VIC,BASS COAST (SHIRE)
ALONNAH,TAS,KINGBOROUGH (MUNICIPALITY)
ALOOMBA,QLD,CAIRNS (REGIONAL COUNCIL)
ALPHA,QLD,BARCALDINE (REGIONAL COUNCIL)
ALPHINGTON,VIC,DAREBIN (CITY)
ALPINE,NSW,WINGECARRIBEE (AREA)
ALPURRURULAM,NT,BARKLY (REGIONAL COUNCIL)
ALSACE,QLD,CENTRAL HIGHLANDS (REGIONAL COUNCIL)
ALSTONVALE,NSW,BALLINA (AREA)
ALSTONVILLE,NSW,BALLINA (AREA)
ALTON DOWNS,QLD,ROCKHAMPTON (REGIONAL COUNCIL)
ALTONA,SA,BAROSSA (DISTRICT COUNCIL)
ALTONA,VIC,HOBSONS BAY (CITY)
ALTONA MEADOWS,VIC,HOBSONS BAY (CITY)
ALTONA NORTH,VIC,HOBSONS BAY (CITY)
ALUMY CREEK,NSW,CLARENCE VALLEY (AREA)
ALVA,QLD,BURDEKIN (SHIRE)
ALVIE,VIC,COLAC-OTWAY (SHIRE)
ALYANGULA,NT,UNINCORPORATED
AMAMOOR,QLD,GYMPIE (REGIONAL COUNCIL)
AMAMOOR CREEK,QLD,GYMPIE (REGIONAL COUNCIL)
AMAROO,ACT,UNINCORPORATED
AMAROO,NSW,CABONNE (AREA)
AMAROO,QLD,BOULIA (SHIRE)
AMATA,SA,ANANGU PITJANTJATJARA (ABORIGINAL COUNCIL)
AMBANIA,WA,GREATER GERALDTON (CITY)
AMBARVALE,NSW,CAMPBELLTOWN (CITY)
AMBER,QLD,MAREEBA (SHIRE)
AMBERGATE,WA,BUSSELTON (CITY)
AMBERLEY,QLD,IPSWICH (CITY)
AMBLESIDE,TAS,DEVONPORT (CITY)
AMBROSE,QLD,GLADSTONE (REGIONAL COUNCIL)
AMBY,QLD,MARANOA (REGIONAL COUNCIL)
AMELUP,WA,GNOWANGERUP (SHIRE)
AMERICAN BEACH,SA,KANGAROO ISLAND (DISTRICT COUNCIL)
AMERICAN RIVER,SA,KANGAROO ISLAND (DISTRICT COUNCIL)
AMHERST,VIC,CENTRAL GOLDFIELDS (SHIRE)
AMIENS,QLD,SOUTHERN DOWNS (REGIONAL COUNCIL)
AMITY,QLD,REDLAND (CITY)
AMOONGUNA,NT,MACDONNELL (REGIONAL COUNCIL)
AMOR,VIC,BAW BAW (SHIRE)
AMOSFIELD,NSW,TENTERFIELD (AREA)
AMPHITHEATRE,VIC,PYRENEES (SHIRE)
AMPILATWATJA,NT,BARKLY (REGIONAL COUNCIL)
AMYTON,SA,MOUNT REMARKABLE (DISTRICT COUNCIL)
ANABRANCH NORTH,NSW,WENTWORTH (AREA)
ANABRANCH SOUTH,NSW,WENTWORTH (AREA)
ANAKIE,VIC,GOLDEN PLAINS (SHIRE)
ANAMA,SA,CLARE AND GILBERT VALLEYS (DISTRICT COUNCIL)
ANAMBAH,NSW,MAITLAND (CITY)
ANANGU PITJANTJATJARA YANKUNYTJATJARA,SA,ANANGU PITJANTJATJARA (ABORIGINAL COUNCIL)
ANATYE,NT,CENTRAL DESERT (REGIONAL COUNCIL)
ANCONA,VIC,MANSFIELD (SHIRE)
ANDAMOOKA,SA,UNINCORPORATED
ANDAMOOKA STATION,SA,UNINCORPORATED
ANDERGROVE,QLD,MACKAY (REGIONAL COUNCIL)
ANDERLEIGH,QLD,GYMPIE (REGIONAL COUNCIL)
ANDERSON,VIC,BASS COAST (SHIRE)
ANDO,NSW,SNOWY MONARO REGIONAL (AREA)
ANDOVER,TAS,SOUTHERN MIDLANDS (MUNICIPALITY)
ANDREWS,SA,NORTHERN AREAS (DISTRICT COUNCIL)
ANDREWS FARM,SA,PLAYFORD (CITY)
ANDROMACHE,QLD,WHITSUNDAY (REGIONAL COUNCIL)
ANDURAMBA,QLD,TOOWOOMBA (REGIONAL COUNCIL)
ANEMBO,NSW,SNOWY MONARO REGIONAL (AREA)
ANGAS PLAINS,SA,ALEXANDRINA (DISTRICT COUNCIL)
ANGAS VALLEY,SA,MID MURRAY (DISTRICT COUNCIL)
ANGASTON,SA,BAROSSA (DISTRICT COUNCIL)
ANGELO RIVER,WA,MEEKATHARRA (SHIRE)
ANGLE PARK,SA,PORT ADELAIDE ENFIELD (CITY)
ANGLE VALE,SA,PLAYFORD (CITY)
ANGLEDALE,NSW,BEGA VALLEY (AREA)
ANGLEDOOL,NSW,BREWARRINA (AREA)
ANGLERS REACH,NSW,SNOWY MONARO REGIONAL (AREA)
ANGLERS REST,VIC,EAST GIPPSLAND (SHIRE)
ANGLESEA,VIC,SURF COAST (SHIRE)
ANGOURIE,NSW,CLARENCE VALLEY (AREA)
ANGURUGU,NT,EAST ARNHEM (REGIONAL COUNCIL)
ANINDILYAKWA,NT,EAST ARNHEM (REGIONAL COUNCIL)
ANKETELL,WA,KWINANA (CITY)
ANMATJERE,NT,CENTRAL DESERT (REGIONAL COUNCIL)
ANNA BAY,NSW,PORT STEPHENS (AREA)
ANNADALE,SA,MID MURRAY (DISTRICT COUNCIL)
ANNANDALE,NSW,INNER WEST (AREA)
ANNANDALE,QLD,TOWNSVILLE (CITY)
ANNANGROVE,NSW,THE HILLS SHIRE (AREA)
ANNERLEY,QLD,BRISBANE (CITY)
ANNIEBROOK,WA,BUSSELTON (CITY)
ANNUELLO,VIC,SWAN HILL (RURAL CITY)
ANSONS BAY,TAS,BREAK O'DAY (MUNICIPALITY)
ANSTEAD,QLD,BRISBANE (CITY)
ANTECHAMBER BAY,SA,KANGAROO ISLAND (DISTRICT COUNCIL)
ANTHONY,QLD,SCENIC RIM (REGIONAL COUNCIL)
ANTIGUA,QLD,FRASER COAST (REGIONAL COUNCIL)
ANTILL PONDS,TAS,SOUTHERN MIDLANDS (MUNICIPALITY)
ANTONYMYRE,WA,KARRATHA (CITY)
ANTWERP,VIC,HINDMARSH (SHIRE)
ANULA,NT,DARWIN (CITY)
APAMURRA,SA,MID MURRAY (DISTRICT COUNCIL)
APOINGA,SA,GOYDER (DISTRICT COUNCIL)
APOLLO BAY,TAS,KINGBOROUGH (MUNICIPALITY)
APOLLO BAY,VIC,COLAC-OTWAY (SHIRE)
APPILA,SA,MOUNT REMARKABLE (DISTRICT COUNCIL)
APPIN,NSW,WOLLONDILLY (AREA)
APPIN,VIC,GANNAWARRA (SHIRE)
APPIN SOUTH,VIC,GANNAWARRA (SHIRE)
APPLE TREE CREEK,QLD,BUNDABERG (REGIONAL COUNCIL)
APPLE TREE FLAT,NSW,MID-WESTERN REGIONAL (AREA)
APPLEBY,NSW,TAMWORTH REGIONAL (AREA)
APPLECROSS,WA,MELVILLE (CITY)
APPLETHORPE,QLD,SOUTHERN DOWNS (REGIONAL COUNCIL)
APPLETREE FLAT,NSW,SINGLETON (AREA)
APSLAWN,TAS,GLAMORGAN/SPRING BAY (MUNICIPALITY)
APSLEY,NSW,WESTERN PLAINS REGIONAL (AREA)
APSLEY,TAS,CENTRAL HIGHLANDS (MUNICIPALITY)
APSLEY,VIC,WEST WIMMERA (SHIRE)
ARABLE,NSW,SNOWY MONARO REGIONAL (AREA)
ARAFURA SEA,QLD,TORRES (SHIRE)
ARAKOON,NSW,KEMPSEY (AREA)
ARALUEN,NSW,QUEANBEYAN-PALERANG REGIONAL (AREA)
ARALUEN,NT,ALICE SPRINGS (TOWN)
ARALUEN,QLD,GYMPIE (REGIONAL COUNCIL)
ARAMAC,QLD,BARCALDINE (REGIONAL COUNCIL)
ARAMARA,QLD,FRASER COAST (REGIONAL COUNCIL)
ARANA HILLS,QLD,MORETON BAY (REGIONAL COUNCIL)
ARANBANGA,QLD,NORTH BURNETT (REGIONAL COUNCIL)
ARANDA,ACT,UNINCORPORATED
ARARAT,VIC,ARARAT (RURAL CITY)
ARATULA,NSW,MURRAY RIVER (AREA)
ARATULA,QLD,SCENIC RIM (REGIONAL COUNCIL)
ARAWATA,VIC,SOUTH GIPPSLAND (SHIRE)
ARBOUIN,QLD,MAREEBA (SHIRE)
ARBUCKLE,VIC,WELLINGTON (SHIRE)
ARCADIA,NSW,HORNSBY (AREA)
ARCADIA,QLD,TOWNSVILLE (CITY)
ARCADIA,VIC,GREATER SHEPPARTON (CITY)
ARCADIA SOUTH,VIC,STRATHBOGIE (SHIRE)
ARCADIA VALE,NSW,LAKE MACQUARIE (CITY)
ARCADIA VALLEY,QLD,CENTRAL HIGHLANDS (REGIONAL COUNCIL)
ARCHDALE,VIC,CENTRAL GOLDFIELDS (SHIRE)
ARCHDALE JUNCTION,VIC,CENTRAL GOLDFIELDS (SHIRE)
ARCHER,NT,PALMERSTON (CITY)
ARCHER RIVER,QLD,COOK (SHIRE)
ARCHERFIELD,QLD,BRISBANE (CITY)
ARCHERTON,VIC,BENALLA (RURAL CITY)
ARCHIES CREEK,VIC,BASS COAST (SHIRE)
ARCOONA,SA,UNINCORPORATED
ARCTURUS,QLD,CENTRAL HIGHLANDS (REGIONAL COUNCIL)
ARDATH,WA,BRUCE ROCK (SHIRE)
ARDEER,VIC,BRIMBANK (CITY)
ARDGLEN,NSW,LIVERPOOL PLAINS (AREA)
ARDING,NSW,URALLA (AREA)
ARDLETHAN,NSW,BLAND (AREA)
ARDMONA,VIC,GREATER SHEPPARTON (CITY)
ARDROSS,WA,MELVILLE (CITY)
ARDROSSAN,SA,YORKE PENINSULA (DISTRICT COUNCIL)
AREEGRA,VIC,YARRIAMBIACK (SHIRE)
AREYONGA,NT,MACDONNELL (REGIONAL COUNCIL)
